image_id,filename,brand,product_name,category,packaging_type,panel_type,ground_truth_status,statutory_citations,violation_details,declared_mrp,declared_net_qty,declared_usp,declared_date,manufacturer,has_consumer_care,width_px,height_px,aspect_ratio,size_kb,sha256_hash
LMP_001,01_balaji_gathiya_front_missing_mrp.jpg,Balaji Wafers,Papdi Gathiya Namkeen,Savouries / Namkeen,Pillow Pouch,Front (PDP),VIOLATION,Rule 6(1)(e),Missing MRP on front panel,,24g,₹0.21/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,3456,4608,0.75,4911.98,637d973aeb65aaf20f3ff65562b3dd015338ae50735f8f9eb2dd50a491f2926c
LMP_002,02_balaji_gathiya_back_compliant.jpg,Balaji Wafers,Papdi Gathiya Namkeen,Savouries / Namkeen,Pillow Pouch,Back Panel,COMPLIANT,None,None (Fully compliant with all Rule 6 declarations),₹5.00,24g,₹0.21/g,06FEB26 / 07JUN26,"Balaji Wafers Pvt. Ltd., Vajdi, Rajkot PIN 360021",True,3456,4608,0.75,5023.31,64209ed06404723062bd93d68b8aee1d222e8d24a1ad0f1291ed802ed6eff787
LMP_003,03_balaji_mungdal_pdp_missing_netqty.jpg,Balaji Wafers,Mung Dal Savouries,Savouries / Namkeen,Pillow Pouch,Front (PDP),VIOLATION,Rule 6(1)(a),Net Quantity omitted on Principal Display Panel,₹5.00,,₹0.21/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,3456,4608,0.75,4967.27,6bbc3018c442b5a9faf28c38548a1a82eb7b942f9f4dfba844b7f995267adb37
LMP_004,04_balaji_mungdal_back_compliant.jpg,Balaji Wafers,Mung Dal Savouries,Savouries / Namkeen,Pillow Pouch,Back Panel,COMPLIANT,None,None,₹5.00,24g,₹0.21/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,3456,4608,0.75,4579.2,c408c7e53dd7d9611839f6b0d57c672398d3f034bc98ac6423fbf7c853aa69d4
LMP_005,05_balaji_mungdal_usp_compliant.jpg,Balaji Wafers,Mung Dal Savouries,Savouries / Namkeen,Pillow Pouch,Detail (USP),COMPLIANT,None,None,₹5.00,24g,₹0.21/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,4608,3456,1.333,3722.83,818c832d1a4f7e3255be1b4ba97e564fbde4018450f44f5a6e83f4bcd95cfb06
LMP_006,06_balaji_sev_murmura_front_missing_mrp.jpg,Balaji Wafers,Sev Murmura Namkeen,Savouries / Namkeen,Pillow Pouch,Front (PDP),VIOLATION,Rule 6(1)(e),Missing MRP,,26g,₹0.19/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,4608,3456,1.333,4170.65,a37309ec017002887ccbd4fb232870525ca6560f6ac20766048b2aa36daecf2d
LMP_007,07_balaji_sev_murmura_back_compliant.jpg,Balaji Wafers,Sev Murmura Namkeen,Savouries / Namkeen,Pillow Pouch,Back Panel,COMPLIANT,None,None,₹5.00,26g,₹0.19/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,4608,3456,1.333,4584.35,6b42a172da6275e5d479526adf2b2831a1fae0a3d7a5f83eb631cc43d4fec05b
LMP_008,08_balaji_sev_murmura_batch_compliant.jpg,Balaji Wafers,Sev Murmura Namkeen,Savouries / Namkeen,Pillow Pouch,Batch Coder Stamp,COMPLIANT,None,None,₹5.00,26g,₹0.19/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,2800,2948,0.95,1599.07,384616fc9b6af407544f40db9805eb8c469981d1e8064ffee3af9d19d6e9a464
LMP_009,09_ram_bandhu_chakali_front_missing_declarations.jpg,Ram Bandhu,Chakali Bhajani Mix,Ready-to-Cook Mix,Pillow Pouch,Front (PDP),VIOLATION,Rule 6(1)(e),Missing mandatory declarations on primary front,,200g,₹0.28/g,2026,Empire Spices and Foods Ltd.,True,4080,3072,1.328,2979.91,58604a378c4b0c09dcff8c5b73bffd8755879bb01aaa9630684eb8a0d73c2025
LMP_010,10_ram_bandhu_chakali_back_font_violation.jpg,Ram Bandhu,Chakali Bhajani Mix,Ready-to-Cook Mix,Pillow Pouch,Back Panel,VIOLATION,Schedule II,Font height non-compliance under Schedule II relative to PDP,₹55.00,200g,₹0.28/g,2026,Empire Spices and Foods Ltd.,True,4080,3072,1.328,2690.09,7c90297a469a8c46a970cd15c4ccc5ad8933fa1e2606ea71a95eca26c5a80f34
